user_id,age,location
78973,29.0,"amadora, lisboa, portugal"
79186,37.0,"fairbanks, alaska, usa"
79740,24.0,"st louis, missouri, usa"
80810,33.0,"warrensburg, missouri, usa"
81088,18.0,"romsey, hampshire, united kingdom"
81298,20.0,"savannah, georgia, usa"
82114,34.0,"fair oaks, california, usa"
82893,40.0,"san antonio, texas, usa"
83034,34.0,"fairbanks, alaska, usa"
84024,37.0,"abilene, texas, usa"
84611,34.0,"fremont, california, usa"
85534,49.0,"cleveland, ohio, usa"
86303,31.0,"denver, colorado, usa"
86969,59.0,"forest grove, oregon, usa"
87257,34.0,"coeur dalene, idaho, usa"
87929,25.0,"portland, maine, usa"
88006,27.0,"fresno, california, usa"
90322,34.0,"lakeland, minnesota, usa"
91633,21.0,"french camp, california, usa"
91832,34.0,"miami, florida, usa"
93055,34.0,"st charles, missouri, usa"
93363,30.0,"farmington hills, michigan, usa"
93643,34.0,"bergheim, texas, usa"
93772,34.0,"portland, oregon, usa"
93800,52.0,"mount vernon, washington, usa"
94139,34.0,"san marcos, california, usa"
94396,62.0,"shoreline, washington, usa"
97721,46.0,"castro valley, california, usa"
98012,48.0,"friday harbor, washington, usa"
98468,33.0,"eugene, oregon, usa"
98723,29.0,"cincinnati, ohio, usa"
98923,34.0,"liberty township, ohio, usa"
100009,49.0,"victoria, british columbia, canada"
100393,34.0,"riverside, california, usa"
101209,44.0,"ft huachuca, arizona, usa"
102647,14.0,"modesto, california, usa"
102967,54.0,"olympia, washington, usa"
103315,32.0,"norton, ohio, usa"
103416,33.0,"tucson, arizona, usa"
105124,34.0,"sarasota, usa"
105937,27.0,"tampa, florida, usa"
105979,26.0,"oakland, california, usa"
106230,34.0,"dumas, texas, usa"
107201,38.0,"troy, michigan, usa"
107244,50.0,"appleton, wisconsin, usa"
107784,34.0,"tarentum, pennsylvania, usa"
108143,17.0,"cincinnati, ohio, usa"
108247,34.0,"winterville, north carolina, usa"
110127,34.0,"cambridge, massachusetts, usa"
110440,29.0,"fairfax, virginia, usa"
110558,34.0,"los angeles, california, usa"
110973,43.0,"wiley ford, west virginia, usa"
112001,43.0,"barren springs, virginia, usa"
112093,35.0,"spencer, indiana, usa"
112280,50.0,"saint  charles, missouri, usa"
113328,34.0,"painted post, new york, usa"
114544,35.0,"antelope, california, usa"
115003,43.0,"asheville, north carolina, usa"
115120,29.0,"sherman oaks, california, usa"
116127,34.0,"vancouver, washington, usa"
116428,47.0,"pickering, ontario, canada"
117594,26.0,"moline, illinois, usa"
118659,37.0,"blacksburg, virginia, usa"
120396,46.0,"boyce, virginia, usa"
120771,49.0,"garland, texas, usa"
122251,30.0,"hampden, north dakota, usa"
122440,29.0,"vancouver, british columbia, canada"
122658,34.0,"atlanta, georgia, usa"
123137,34.0,"decatur, georgia, usa"
123430,34.0,"manning, south carolina, usa"
123790,25.0,"mount vernon, new york, usa"
123981,46.0,"phoenix, arizona, usa"
124259,34.0,"boulder, colorado, usa"
124363,36.0,"tallahassee, florida, usa"
124487,34.0,"ramah, new mexico, usa"
125039,27.0,"lafayette, indiana, usa"
125519,40.0,"irvine, california, usa"
126492,31.0,"westmont, illinois, usa"
127200,34.0,"urbana, illinois, usa"
128185,39.0,"glendale, missouri, usa"
128208,34.0,"san antonio, texas, usa"
128463,34.0,"jersey city, new jersey, usa"
129084,39.0,"boise, idaho, usa"
130784,34.0,"ferndale, washington, usa"
131046,26.0,"ellington, connecticut, usa"
131681,48.0,"muskegon, michigan, usa"
131703,34.0,"endicott, new york, usa"
131837,34.0,"west valley city, utah, usa"
132144,34.0,"seattle, washington, usa"
133706,30.0,"palmyra, western australia, australia"
133738,28.0,"indianapolis, indiana, usa"
134264,34.0,"phoenix, arizona, usa"
134797,34.0,"elk grove, california, usa"
134863,34.0,"san jose, california, usa"
135149,34.0,"ft pierce, florida, usa"
135831,34.0,"potomac falls, virginia, usa"
136096,47.0,"arlington, virginia, usa"
136396,34.0,"warren, ohio, usa"
136707,50.0,"laplace, louisiana, usa"
137589,35.0,"enterprise, oregon, usa"
140824,53.0,"wetzlar, hessen, germany"
141444,34.0,"west springfield, massachusetts, usa"
143134,27.0,"marion, arkansas, usa"
143253,27.0,"dyersburg, tennessee, usa"
143939,34.0,"ellensburg, washington, usa"
144062,16.0,"stow, massachusetts, usa"
144255,34.0,"riedstadt, hessen, germany"
144478,39.0,"galveston, texas, usa"
144531,37.0,"pleasanton, california, usa"
145619,36.0,"middletown, connecticut, usa"
146113,34.0,"cary, north carolina, usa"
146279,42.0,"camdenton, missouri, usa"
146816,34.0,"minneapolis, minnesota, usa"
147965,34.0,"lake wales, florida, usa"
149120,34.0,"hillsdale, michigan, usa"
150400,34.0,"sacramento, california, usa"
150896,30.0,"vancouver, washington, usa"
151004,41.0,"millburn, new jersey, usa"
151063,70.0,"san antonio, texas, usa"
152354,34.0,"boston, massachusetts, usa"
152696,34.0,"studio city, california, usa"
153513,31.0,"little rock, arkansas, usa"
153718,27.0,"round lake, illinois, usa"
154730,42.0,"encinitas, california, usa"
155495,26.0,"hood river, oregon, usa"
156300,49.0,"pinon hills, california, usa"
159440,27.0,"lille, nord, france"
159506,28.0,"portland, oregon, usa"
160735,39.0,"blaine, minnesota, usa"
160819,43.0,"miami, florida, usa"
161870,34.0,"steubenville, ohio, usa"
163194,57.0,"west linn, usa"
163693,37.0,"decatur, alabama, usa"
164323,31.0,"delta, british columbia, canada"
165618,34.0,"pforzheim, badenwuerttemberg, germany"
165842,34.0,"doylestown, pennsylvania, usa"
165884,34.0,"louisville, kentucky, usa"
166391,60.0,"hanover, pennsylvania, usa"
167038,34.0,"kissimmee, florida, usa"
167800,57.0,"olive branch, mississippi, usa"
168132,37.0,"middletown, maryland, usa"
169403,43.0,"marietta, georgia, usa"
170518,61.0,"gaithersburg, maryland, usa"
170580,34.0,"carlsbad, california, usa"
171078,43.0,"langley, british columbia, canada"
172539,34.0,"lakewood, california, usa"
172742,44.0,"astoria, oregon, usa"
173415,31.0,"chicago, illinois, usa"
173684,15.0,"chula vista, california, usa"
174642,34.0,"zelienople, pennsylvania, usa"
175117,34.0,"royersford, pennsylvania, usa"
176477,46.0,"university heights, ohio, usa"
176790,43.0,"irvine, california, usa"
176894,32.0,"salt lake city, utah, usa"
178130,45.0,"auburn, washington, usa"
179068,30.0,"omaha, nebraska, usa"
181519,34.0,"oakville, connecticut, usa"
182459,28.0,"fort wayne, indiana, usa"
182746,44.0,"jacksonville, florida, usa"
185384,34.0,"st charles, missouri, usa"
185722,24.0,"long beach, california, usa"
186570,28.0,"rantoul, illinois, usa"
187266,66.0,"gordon, nebraska, usa"
187533,68.0,"san jose, costa rica"
187944,41.0,"hopatcong, new jersey, usa"
189655,34.0,"pittsburgh, pennsylvania, usa"
190741,52.0,"corpus christi, texas, usa"
192353,26.0,"las vegas, nevada, usa"
192399,34.0,"grand rapids, michigan, usa"
193529,51.0,"florissant, missouri, usa"
193898,34.0,"paradise, pennsylvania, usa"
195347,34.0,"riverside, california, usa"
195469,39.0,"congers, new york, usa"
195694,29.0,"tucson, arizona, usa"
197364,30.0,"cumming, georgia, usa"
198046,51.0,"milwaukee, wisconsin, usa"
198412,17.0,"waretown, new jersey, usa"
198483,34.0,"silver spring, maryland, usa"
198711,62.0,"little canada, minnesota, usa"
199092,50.0,"rotterdam, zuidholland, netherlands"
199640,34.0,"bellingham, washington, usa"
200234,53.0,"rr battersea, ontario, canada"
200402,35.0,"campbell, california, usa"
201548,29.0,"rheinfelden, badenwuerttemberg, germany"
202619,28.0,"encino, california, usa"
203649,41.0,"mount vernon, kentucky, usa"
204504,41.0,"woodside, new york, usa"
205963,56.0,"santa clara, california, usa"
206423,34.0,"columbia, maryland, usa"
207259,38.0,"florence, oregon, usa"
207291,34.0,"brisbane, queensland, australia"
207782,28.0,"midland, texas, usa"
207825,52.0,"fairbanks, alaska, usa"
208147,41.0,"federal way, washington, usa"
208607,34.0,"springfield, nebraska, usa"
210276,67.0,"north fort myers, usa"
210717,42.0,"wantagh, new york, usa"
210838,66.0,"springfield, illinois, usa"
211321,19.0,"cincinnati, ohio, usa"
213220,34.0,"york, pennsylvania, usa"
213760,32.0,"omaha, nebraska, usa"
214786,34.0,"boone county, kentucky, usa"
215256,34.0,"sun valley, california, usa"
215949,34.0,"brown city, michigan, usa"
216670,34.0,"pensacola, florida, usa"
216683,34.0,"san jose, california, usa"
217375,35.0,"st petersburg, florida, usa"
217516,56.0,"loudoun county, virginia, usa"
217986,35.0,"ypsilanti, michigan, usa"
218121,34.0,"brighton, colorado, usa"
221445,34.0,"portland, oregon, usa"
222217,25.0,"hamburg, germany"
223331,34.0,"fort lauderdale, florida, usa"
224435,24.0,"warren, michigan, usa"
224764,34.0,"rockaway, new jersey, usa"
225717,33.0,"warsaw, mazowiecka, poland"
225810,56.0,"el cajon, california, usa"
225826,23.0,"dallas, oregon, usa"
225989,27.0,"palmdale, california, usa"
226638,50.0,"reno, nevada, usa"
227392,30.0,"waltham, massachusetts, usa"
229011,34.0,"mclean, virginia, usa"
231237,34.0,"waianae, hawaii, us"
232131,34.0,"oakland, california, usa"
232271,46.0,"iowa city, iowa, usa"
232945,28.0,"newport, rhode island, usa"
233731,44.0,"kingston, ontario, canada"
234623,34.0,"scarborough, maine, usa"
235059,24.0,"aurora, illinois, usa"
235842,41.0,"griswold, iowa, usa"
235935,43.0,"bridgeton, new jersey, usa"
236172,34.0,"chesapeake, virginia, usa"
240024,40.0,"amarillo, texas, usa"
240144,34.0,"muskego, wisconsin, usa"
240567,33.0,"hawthorne, new jersey, usa"
240951,41.0,"austin, minnesota, usa"
241306,32.0,"colfax, north carolina, usa"
241548,44.0,"saratoga, california, usa"
241666,35.0,"san francisco, california, usa"
241980,35.0,"ashburn, virginia, usa"
242843,43.0,"scottsdale, arizona, usa"
242891,84.0,"rockwall, texas, usa"
243930,43.0,"montreuil, seine saintdenis, france"
244349,40.0,"los banos, california, usa"
244627,32.0,"shelbyville, tennessee, usa"
244761,34.0,"santa rosa, california, usa"
245616,28.0,"sacramento, california, usa"
245963,34.0,"saint louis, missouri, usa"
246333,31.0,"memphis, tennessee, usa"
246655,34.0,"mooresville, north carolina, usa"
250101,61.0,"phoenix, arizona, usa"
250184,34.0,"renton, washington, usa"
251122,34.0,"hartley, iowa, usa"
251377,34.0,"sacramento, california, usa"
251613,34.0,"sonoma, california, usa"
253106,45.0,"westchester county, new york, usa"
254971,53.0,"boise, idaho, usa"
255719,30.0,"columbus, ohio, usa"
256407,58.0,"florissant, missouri, usa"
256925,32.0,"louisville, kentucky, usa"
258534,32.0,"mcqueeney, texas, usa"
258884,34.0,"belvidere, illinois, usa"
259078,49.0,"fairbanks, alaska, usa"
259223,82.0,"twin falls, idaho, usa"
259543,34.0,"south san francisco, california, usa"
259778,34.0,"hillsboro, oregon, usa"
259846,34.0,"rohnert park, calabria, usa"
260897,25.0,"chicago, illinois, usa"
261378,34.0,"omaha, nebraska, usa"
261829,32.0,"fpo, ap, usa"
262846,34.0,"greenville, texas, usa"
263163,26.0,"austin, texas, usa"
263644,34.0,"mendon, massachusetts, usa"
263877,44.0,"victoria, british columbia, canada"
265115,34.0,"vista, california, usa"
265276,39.0,"missoula, montana, usa"
265313,33.0,"morrisville, north carolina, usa"
266268,34.0,"camden, south carolina, usa"
267549,34.0,"olympia, washington, usa"
268330,23.0,"miami, florida, usa"
269566,9.0,"seattle, washington, usa"
269614,46.0,"beaver dam, wisconsin, usa"
271284,50.0,"alexandria, virginia, usa"
271558,35.0,"henderson, nevada, usa"
273190,71.0,"coconut grove, usa"
273979,20.0,"bloomsburg, pennsylvania, usa"
274167,52.0,"whitehorse, yukon territory, canada"
274308,33.0,"delray beach, florida, usa"
274823,34.0,"austin, texas, usa"
276641,25.0,"porto, portugal"
277478,31.0,"schiedam, zuidholland, netherlands"
3373,30.0,"elk grove, california, usa"
4781,47.0,"manchester, new hampshire, usa"
5555,34.0,"perigny, poitoucharentes, france"
6026,34.0,"bangor, maine, usa"
6242,34.0,"calgary, alberta, canada"
7210,34.0,"rothesay, new brunswick, canada"
8362,28.0,"los angeles, california, usa"
8570,23.0,"rochester, new york, usa"
11104,34.0,"wyncote, pennsylvania, usa"
12863,29.0,"london, england, united kingdom"
14449,72.0,"saskatoon, saskatchewan, canada"
16231,32.0,"kanata, ontario, canada"
17003,34.0,"carlsbad, california, usa"
20265,29.0,"tampa, florida, usa"
21870,34.0,"carlisle, pennsylvania, usa"
22625,54.0,"lynbrook, new york, usa"
27624,54.0,"london, england, united kingdom"
28056,36.0,"lancaster, pennsylvania, usa"
32793,22.0,"quebec, canada"
34588,34.0,"west linn, oregon, usa"
34864,39.0,"belfort, franchecomt, france"
36197,44.0,"topeka, kansas, usa"
36715,34.0,"lexington, kentucky, usa"
36907,39.0,"dunnville, ontario, canada"
40330,34.0,"germantown, maryland, usa"
40612,25.0,"sterling heights, michigan, usa"
43619,26.0,"shrewsbury, massachusetts, usa"
49980,27.0,"new hartford, new york, usa"
52832,34.0,"highland park, illinois, usa"
57105,32.0,"roswell, georgia, usa"
58363,81.0,"colorado springs, colorado, usa"
61619,34.0,"coburg, oregon, usa"
63956,28.0,"emporia, kansas, usa"
64763,43.0,"chicago, illinois, usa"
68943,34.0,"coventry, connecticut, usa"
69378,46.0,"mililani, hawaii, usa"
75723,34.0,"farmington hills, michigan, usa"
77181,33.0,"louisville, kentucky, usa"
80683,27.0,"new castle, delaware, usa"
80837,34.0,"fort myers, florida, usa"
82407,34.0,"washington, dc, usa"
85653,53.0,"lansdowne, pennsylvania, usa"
85656,41.0,"cottage grove, oregon, usa"
86219,26.0,"ludwigshafen, rheinlandpfalz, germany"
86243,34.0,"christchurch, canterbury, new zealand"
86835,34.0,"mercer island, usa"
87746,52.0,"wallingford, connecticut, usa"
89856,31.0,"seattle, washington, usa"
91931,40.0,"new westminster, british columbia, canada"
92810,60.0,"manistee, michigan, usa"
93698,70.0,"halfmoon bay, british columbia, canada"
95392,25.0,"toronto, ontario, canada"
95932,36.0,"manchester, new hampshire, usa"
99946,34.0,"chicago, illinois, usa"
100459,38.0,"bay area, california, usa"
101043,34.0,"glenshaw, pennsylvania, usa"
101559,34.0,"winchester, virginia, usa"
101851,29.0,"keizer, oregon, usa"
102327,34.0,"atlanta, georgia, usa"
102359,34.0,"springfield, oregon, usa"
102430,37.0,"portage, wisconsin, usa"
104796,38.0,"anchorage, alaska, usa"
105214,34.0,"pittsburgh, pennsylvania, usa"
105517,28.0,"calgary, alberta, canada"
107258,34.0,"lowell, massachusetts, usa"
108005,29.0,"greenfield, wisconsin, usa"
112026,17.0,"lakewood, washington, usa"
114698,81.0,"olympia, washington, usa"
116210,46.0,"oisterwijk, noordbrabant, netherlands"
117041,34.0,"mesa, arizona, usa"
118135,29.0,"porto, portugal"
119858,53.0,"centennial, colorado, usa"
120807,43.0,"corrales, new mexico, usa"
124298,25.0,"stockton, california, usa"
124874,32.0,"warren, new jersey, usa"
125774,36.0,"tehran, iran"
127429,23.0,"kansas city, missouri, usa"
129373,54.0,"mercer island, usa"
129716,30.0,"tallahassee, florida, usa"
132230,58.0,"pittsburgh, pennsylvania, usa"
132930,29.0,"wokingham, england, united kingdom"
134869,34.0,"menifee lakes, california, usa"
136205,39.0,"crest hill, illinois, usa"
143968,39.0,"wesley chapel, florida, usa"
144803,23.0,"little rock, arkansas, usa"
146932,30.0,"miami, florida, usa"
148744,67.0,"campbellsport, wisconsin, usa"
150968,47.0,"manchester, new hampshire, usa"
153042,35.0,"ann arbor, michigan, usa"
153577,34.0,"grand rapids, michigan, usa"
153662,44.0,"ft stewart, georgia, usa"
156150,36.0,"howell, new jersey, usa"
157273,37.0,"dripping springs, texas, usa"
157799,42.0,"heemstede, noord holland, netherlands"
159732,47.0,"watchung, new jersey, usa"
160032,34.0,"heidelberg, badenwrttemberg, germany"
165319,28.0,"tucson, arizona, usa"
167812,38.0,"vancouver, washington, usa"
171295,27.0,"silver spring, maryland, usa"
173018,34.0,"christchurch, canterbury, new zealand"
174326,38.0,"winnipeg, manitoba, canada"
174633,31.0,"nashville, tennessee, usa"
175003,33.0,"round rock, texas, usa"
176838,27.0,"helsinki, uusimaa, finland"
178667,34.0,"freehold, new jersey, usa"
184299,31.0,"omaha, nebraska, usa"
187145,65.0,"grapeview, washington, usa"
196457,34.0,"seattle, washington, usa"
202182,24.0,"st charles, illinois, usa"
202547,21.0,"owensboro, kentucky, usa"
204864,47.0,"simi valley, california, usa"
204909,34.0,"salt lake city, utah, usa"
207965,46.0,"eugene, oregon, usa"
212847,34.0,"angleton, texas, usa"
212849,59.0,"ft lauderdale, florida, usa"
215388,34.0,"citrus heights, california, usa"
218421,32.0,"dawson creek, british columbia, canada"
221232,21.0,"rock hill, south carolina, usa"
223402,36.0,"san carlos, california, usa"
224138,34.0,"carlsbad, california, usa"
224236,34.0,"neptune, new jersey, usa"
227025,33.0,"saskatoon, saskatchewan, canada"
227275,47.0,"saskatoon, saskatchewan, canada"
227884,25.0,"virginia beach, virginia, usa"
230249,34.0,"glen rock, pennsylvania, usa"
231210,44.0,"roanoke, virginia, usa"
232103,30.0,"durham, north carolina, usa"
234205,15.0,"lake worth, florida, usa"
235011,34.0,"seattle, washington, usa"
237436,34.0,"idaho falls, idaho, usa"
238120,25.0,"louisville, kentucky, usa"
240353,45.0,"houston, texas, usa"
240401,64.0,"denver, colorado, usa"
241214,34.0,"de soto, usa"
243879,32.0,"los angeles, california, usa"
244171,51.0,"moline, illinois, usa"
244643,34.0,"santa rosa, california, usa"
250764,34.0,"cove, oregon, usa"
250892,21.0,"st petersburg, florida, usa"
251150,34.0,"east setuaket, new york, usa"
252627,34.0,"tucson, arizona, usa"
253855,29.0,"edmonton, alberta, canada"
254160,33.0,"millbrae, california, usa"
258109,37.0,"hamburg, germany"
258747,45.0,"long beach, california, usa"
264543,34.0,"quincy, massachusetts, usa"
264657,23.0,"st louis, missouri, usa"
266283,62.0,"walla walla, washington, usa"
267293,34.0,"ferndale, california, usa"
269688,34.0,"chicago, illinois, usa"
269799,34.0,"new york, usa"
271135,34.0,"ann arbor, michigan, usa"
271144,25.0,"albuquerque, new mexico, usa"
274056,24.0,"seattle, washington, usa"
277711,34.0,"mannheim, badenwuerttemberg, germany"
278418,34.0,"omaha, nebraska, usa"
6910,34.0,"bothell, washington, usa"
7913,43.0,"mission hills, california, usa"
58516,30.0,"rocky river, ohio, usa"
59971,27.0,"kingwood, texas, usa"
60244,47.0,"alvin, texas, usa"
79089,29.0,"nickerson, kansas, usa"
98758,25.0,"calgary, alberta, canada"
113817,25.0,"melbourne, victoria, australia"
126604,27.0,"north reading, massachusetts, usa"
146348,34.0,"tigard, oregon, usa"
172760,29.0,"san antonio, texas, usa"
187763,33.0,"nyack, new york, usa"
196108,34.0,"seattle, washington, usa"
206202,16.0,"arlington heights, illinois, usa"
271622,34.0,"malmok, aruba"
3675,24.0,"barcelona, catalunya, spain"
6366,20.0,"madrid, spain"
13872,17.0,"barcelona, catalunya, spain"
16654,35.0,"mlaga, andalucia, spain"
16673,30.0,"cadiz, spain"
17183,23.0,"zaragoza, spain"
18384,37.0,"palma de mallorca, baleares, spain"
55217,26.0,"vigo, pontevedra, spain"
80908,30.0,"lleida, catalunya, spain"
94985,39.0,"sant cugat del valls, catalunya, spain"
105476,22.0,"zaragoza, aragn, spain"
124888,25.0,"matar, barcelona, spain"
126644,30.0,"zaragoza, aragon, spain"
131126,31.0,"barcelona, catalunya, spain"
134556,28.0,"santander, cantabria, spain"
136633,32.0,"burgos, spain"
137437,26.0,"sevilla, spain"
141518,27.0,"vigo, pontevedra, spain"
152107,42.0,"zaragoza, spain"
156502,33.0,"zaragoza, aragn, spain"
157118,34.0,"bilbao, bizkaia, spain"
158627,32.0,"valladolid, castilla y len, spain"
164533,46.0,"sitges, barcelona, spain"
182987,34.0,"armentia, lava, spain"
187810,45.0,"cabrils, catalunya, spain"
189750,29.0,"crdoba, andaluca, spain"
214920,35.0,"lleida, catalunya, spain"
217740,37.0,"madrid, spain"
229501,20.0,"zaragoza, spain"
240440,30.0,"barcelona, catalunya, spain"
241268,34.0,"barcelona, catalunya, spain"
248325,33.0,"zaragoza, dc, spain"
254982,28.0,"san sebastian, guipuzcoa, spain"
267172,27.0,"javea, alicante, spain"
12,34.0,"fort bragg, california, usa"
67997,53.0,"lincoln city, oregon, usa"
14,34.0,"mediapolis, iowa, usa"
164027,34.0,"burlington, ontario, canada"
174791,38.0,"long beach, california, usa"
259901,34.0,"thompson, manitoba, canada"
242,37.0,"neuffen, badenwuerttemberg, germany"
487,34.0,"houston, texas, usa"
626,41.0,"graz, steiermark, austria"
899,23.0,"bielefeld, nordrheinwestfalen, germany"
